bgp1 15 18:05:28 up 0 min, load average: 1.26, 0.34, 0.11Mem: 126476 30432 96044 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 16 18:05:28 up 0 min, load average: 0.98, 0.25, 0.08Mem: 126476 30256 96220 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 17 05:20:56 up 0 min, load average: 1.26, 0.32, 0.11Mem: 126476 28872 97604 0 2676
bgp1 16 18:05:29 up 0 min, load average: 1.26, 0.34, 0.11Mem: 126476 30368 96108 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 17 18:05:29 up 0 min, load average: 0.90, 0.24, 0.08Mem: 126476 30260 96216 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 18 05:20:57 up 0 min, load average: 1.16, 0.32, 0.11Mem: 126476 28940 97536 0 2676
bgp1 17 18:05:30 up 0 min, load average: 1.15, 0.33, 0.11Mem: 126476 30304 96172 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 18 18:05:30 up 0 min, load average: 0.90, 0.24, 0.08Mem: 126476 30224 96252 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 19 05:20:58 up 0 min, load average: 1.16, 0.32, 0.11Mem: 126476 29052 97424 0 2676
bgp1 18 18:05:31 up 0 min, load average: 1.15, 0.33, 0.11Mem: 126476 30352 96124 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 19 18:05:31 up 0 min, load average: 0.90, 0.24, 0.08Mem: 126476 30132 96344 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 20 05:21:00 up 0 min, load average: 1.16, 0.32, 0.11Mem: 126476 28928 97548 0 2676
bgp1 19 18:05:32 up 0 min, load average: 1.15, 0.33, 0.11Mem: 126476 30224 96252 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 20 18:05:32 up 0 min, load average: 0.90, 0.24, 0.08Mem: 126476 30204 96272 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 21 05:21:01 up 0 min, load average: 1.16, 0.32, 0.11Mem: 126476 29028 97448 0 2676
bgp1 20 18:05:33 up 0 min, load average: 1.15, 0.33, 0.11Mem: 126476 30280 96196 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 21 18:05:33 up 0 min, load average: 0.90, 0.24, 0.08Mem: 126476 30256 96220 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 22 05:21:02 up 0 min, load average: 1.16, 0.32, 0.11Mem: 126476 29092 97384 0 2676
bgp1 21 18:05:34 up 0 min, load average: 1.15, 0.33, 0.11Mem: 126476 30164 96312 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 22 18:05:34 up 0 min, load average: 0.83, 0.24, 0.08Mem: 126476 30232 96244 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 23 05:21:03 up 0 min, load average: 1.14, 0.33, 0.11Mem: 126476 29152 97324 0 2676
bgp1 22 18:05:35 up 0 min, load average: 1.30, 0.38, 0.13Mem: 126476 30032 96444 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 23 18:05:35 up 0 min, load average: 0.83, 0.24, 0.08Mem: 126476 30228 96248 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 24 05:21:04 up 0 min, load average: 1.14, 0.33, 0.11Mem: 126476 29184 97292 0 2676
