bgp1 16 13:56:21 up 0 min, load average: 1.30, 0.34, 0.11Mem: 126476 26748 99728 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 17 05:20:15 up 0 min, load average: 1.07, 0.28, 0.09Mem: 126476 26696 99780 0 2676
bgp2 16 14:07:06 up 0 min, load average: 1.01, 0.27, 0.09Mem: 126476 26956 99520 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 17 13:56:22 up 0 min, load average: 1.19, 0.33, 0.11Mem: 126476 26932 99544 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 18 05:20:16 up 0 min, load average: 0.99, 0.27, 0.09Mem: 126476 26536 99940 0 2676
bgp2 17 14:07:07 up 0 min, load average: 1.01, 0.27, 0.09Mem: 126476 27092 99384 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 18 14:07:08 up 0 min, load average: 1.19, 0.33, 0.11Mem: 126476 26804 99672 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 19 05:20:17 up 0 min, load average: 0.99, 0.27, 0.09Mem: 126476 26504 99972 0 2676
bgp2 18 14:07:08 up 0 min, load average: 1.01, 0.27, 0.09Mem: 126476 27152 99324 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 19 14:07:09 up 0 min, load average: 1.19, 0.33, 0.11Mem: 126476 26864 99612 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 20 05:20:18 up 0 min, load average: 0.99, 0.27, 0.09Mem: 126476 26628 99848 0 2676
bgp2 19 14:07:10 up 0 min, load average: 1.01, 0.27, 0.09Mem: 126476 27120 99356 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 20 14:07:10 up 0 min, load average: 1.19, 0.33, 0.11Mem: 126476 26748 99728 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 21 05:20:19 up 0 min, load average: 0.99, 0.27, 0.09Mem: 126476 26500 99976 0 2676
bgp2 20 14:07:11 up 0 min, load average: 1.01, 0.27, 0.09Mem: 126476 27020 99456 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 21 14:07:11 up 0 min, load average: 1.19, 0.33, 0.11Mem: 126476 26712 99764 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 22 05:20:20 up 0 min, load average: 0.91, 0.27, 0.09Mem: 126476 26444 100032 0 2676
bgp2 21 14:07:12 up 0 min, load average: 0.93, 0.27, 0.09Mem: 126476 27020 99456 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 22 14:07:12 up 0 min, load average: 1.34, 0.38, 0.13Mem: 126476 26776 99700 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 22 14:07:13 up 0 min, load average: 0.93, 0.27, 0.09Mem: 126476 26936 99540 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 23 05:20:21 up 0 min, load average: 0.91, 0.27, 0.09Mem: 126476 26468 100008 0 2676
bgp1 23 14:07:13 up 0 min, load average: 1.34, 0.38, 0.13Mem: 126476 26804 99672 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 23 14:07:14 up 0 min, load average: 0.93, 0.27, 0.09Mem: 126476 27052 99424 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 24 05:20:22 up 0 min, load average: 0.91, 0.27, 0.09Mem: 126476 26472 100004 0 2676
bgp1 24 14:07:14 up 0 min, load average: 1.34, 0.38, 0.13Mem: 126476 26812 99664 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 24 14:07:15 up 0 min, load average: 0.93, 0.27, 0.09Mem: 126476 27084 99392 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 25 05:20:23 up 0 min, load average: 0.91, 0.27, 0.09Mem: 126476 26624 99852 0 2676
bgp1 25 14:07:15 up 0 min, load average: 1.34, 0.38, 0.13Mem: 126476 26616 99860 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 25 14:07:16 up 0 min, load average: 0.93, 0.27, 0.09Mem: 126476 27052 99424 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 26 05:20:24 up 0 min, load average: 0.91, 0.27, 0.09Mem: 126476 26688 99788 0 2676
bgp1 26 14:07:16 up 0 min, load average: 1.34, 0.38, 0.13Mem: 126476 26736 99740 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 26 14:07:17 up 0 min, load average: 0.86, 0.26, 0.09Mem: 126476 27024 99452 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 27 05:20:25 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26688 99788 0 2676
bgp1 27 14:07:17 up 0 min, load average: 1.23, 0.37, 0.13Mem: 126476 26764 99712 0 2676 Routes: 0 imported, 0 exported, 0 preferred
