bgp1 16 21:17:05 up 0 min, load average: 0.97, 0.26, 0.08Mem: 126476 26308 100168 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 16 21:17:05 up 0 min, load average: 0.79, 0.20, 0.06Mem: 126476 27056 99420 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 17 07:38:53 up 0 min, load average: 1.37, 0.35, 0.12Mem: 126476 26408 100068 0 2676
bgp1 17 21:17:06 up 0 min, load average: 0.97, 0.26, 0.08Mem: 126476 26372 100104 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 17 21:17:07 up 0 min, load average: 0.73, 0.20, 0.06Mem: 126476 27268 99208 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 18 07:38:54 up 0 min, load average: 1.26, 0.35, 0.12Mem: 126476 26220 100256 0 2676
bgp1 18 21:17:07 up 0 min, load average: 0.89, 0.25, 0.08Mem: 126476 26400 100076 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 18 21:17:08 up 0 min, load average: 0.73, 0.20, 0.06Mem: 126476 27276 99200 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 19 07:38:55 up 0 min, load average: 1.26, 0.35, 0.12Mem: 126476 26228 100248 0 2676
bgp1 19 21:17:08 up 0 min, load average: 0.89, 0.25, 0.08Mem: 126476 26376 100100 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 19 21:17:09 up 0 min, load average: 0.73, 0.20, 0.06Mem: 126476 27212 99264 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 20 07:38:56 up 0 min, load average: 1.26, 0.35, 0.12Mem: 126476 26316 100160 0 2676
bgp1 20 21:17:09 up 0 min, load average: 0.89, 0.25, 0.08Mem: 126476 26336 100140 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 20 21:17:10 up 0 min, load average: 0.73, 0.20, 0.06Mem: 126476 26924 99552 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 21 07:38:57 up 0 min, load average: 1.26, 0.35, 0.12Mem: 126476 26256 100220 0 2676
bgp1 21 21:17:10 up 0 min, load average: 0.89, 0.25, 0.08Mem: 126476 26372 100104 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 21 21:17:11 up 0 min, load average: 0.73, 0.20, 0.06Mem: 126476 26896 99580 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 22 07:38:58 up 0 min, load average: 1.26, 0.35, 0.12Mem: 126476 26316 100160 0 2676
bgp1 22 21:17:11 up 0 min, load average: 0.89, 0.25, 0.08Mem: 126476 26524 99952 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 22 21:17:12 up 0 min, load average: 0.67, 0.19, 0.06Mem: 126476 27044 99432 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 23 07:39:00 up 0 min, load average: 1.16, 0.34, 0.12Mem: 126476 26288 100188 0 2676
